AREA_NM,EXPRN_GOODS_CD,EXPRN_GOODS_NM,EXPRN_GOODS_ADDR,EXPRN_GOODS_RNEWL_DE
(이용 3시간전구매) 강원 양양 오색탄산온천 이용권(~6/30),10017817,(이용 3시간전구매) 강원 양양 오색탄산온천 이용권(~6/30),대한민국 강원도 양양군 서면 대청봉길 34,20240131
10월,10046881,[10월] 롯데월드 어드벤처 부산 연간권 상시(~10/23),대한민국 부산광역시 기장군 기장읍 동부산관광로 42,20240131
12/31 아이스팰리스 카운트다운 파티 2024,10059231,12/31 아이스팰리스 카운트다운 파티 2024,대한민국 서울특별시 서초구 올림픽대로 2085-14,20240131
2023,10015595,[2023] [책읽는미술관] 주중/주말 동화미술 1회 클래스권,대한민국 서울특별시 강남구 삼성로147길 18,20240131
2023,10030494,[2023] [핌 언더그라운드] 입장권 (~06.30),대한민국 경기도 수원시 영통구 광교호수공원로 80,20240131
2023,10037623,[2023] [안양워터랜드] 입장권 (~8.31),대한민국 경기도 안양시 만안구 예술공원로 153-32,20240131
2023,10063775,[2023] [팀업캠퍼스] 악티바 입장권,대한민국 경기도 광주시 곤지암읍 경충대로 729,20240131
3월,10009193,[3월] 경주월드 종일/오후 파크이용권,대한민국 경상북도 경주시 보문로 544,20240131
5월,10018275,[5월] 경주월드 종일/오후 파크이용권,대한민국 경상북도 경주시 보문로 544,20240131
5월 특가,10020817,[5월 특가] 단하루 특가 경주월드 파크이용권(5/11~6/6),대한민국 경상북도 경주시 보문로 544,20240131
5월 특가,10020827,[5월 특가] 경주월드 파크이용권&커플권 (5/11~6/6),대한민국 경상북도 경주시 보문로 544,20240131
X 미사용 X,10006586,X 미사용 X,대한민국 부산광역시 해운대구 해운대해변로 266,20240131
★ 전국,10049146,★ [전국] 도심형 실내 키즈 테마파크 챔피언/플레이타임 31개점 특가,대한민국 서울특별시 강남구 광평로51길 6-27,20240131
★ 전국,10053990,★ [전국] 도심형 실내 키즈 테마파크 챔피언/플레이타임 31개점 특가,대한민국 서울특별시 강남구 광평로51길 6-27,20240131
★ 전국,10054003,★ [전국] 도심형 키즈 테마파크 챔피언1250/블랙벨트 27개점 특가,대한민국 서울특별시 강남구 광평로51길 6-27,20240131
★ 전국,10062481,★ [전국] 도심형 실내 키즈 테마파크 챔피언/플레이타임 31개점 특가,대한민국 서울특별시 강남구 광평로51길 6-27,20240131
★ 전국,10062516,★ [전국] 도심형 키즈 테마파크 챔피언1250/블랙벨트 27개점 특가,대한민국 서울특별시 강남구 광평로51길 6-27,20240131
★ 전국,10074814,★ [전국] 도심형 키즈 테마파크 챔피언1250/블랙벨트 28개점 야놀자 단독 단품 특가,대한민국 서울특별시 강남구 광평로51길 6-27,20240131
★ 전국,10074815,★ [전국] 도심형 실내 키즈 테마파크 챔피언/플레이타임 30개점 야놀자 단독 단품 특가,대한민국 서울특별시 강남구 광평로51길 6-27,20240131
★단독 특가★ 롯데월드 아쿠아리움 연간 마린프렌즈권,10042474,★단독 특가★ 롯데월드 아쿠아리움 연간 마린프렌즈권,대한민국 서울특별시 송파구 올림픽로 300,20240131
★단독/한정수량★ 전국 챔피언 1250/블랙벨트 28개점 이용권 2매 + 하리보 도시락PKG (2024명 선착순 특가) / 키즈카페,10074830,★단독/한정수량★ 전국 챔피언 1250/블랙벨트 28개점 이용권 2매 + 하리보 도시락PKG (2024명 선착순 특가) / 키즈카페,대한민국 서울특별시 강남구 광평로51길 6-27,20240131
★단독특가,10030313,★[단독특가]★ 볼베어파크/세라젬웰파크/태권래빗 전 지점 특가,대한민국 경기도 부천시 조마루로 2,20240131
★단독특가★ 이천 테르메덴 풀&스파 하이시즌 특가,10026025,★단독특가★ 이천 테르메덴 풀&스파 하이시즌 특가,대한민국 경기도 이천시 모가면 사실로 984,20240131
★단독특가★ 천안 오션어드벤처 / 오션+스노우어드벤처 2인권,10002818,★단독특가★ 천안 오션어드벤처 / 오션+스노우어드벤처 2인권,대한민국 충청남도 천안시 동남구 성남면 종합휴양지로 200,20240131
★바캉스특가★ 소노 오션플레이 경주 종일권 + 레전드 히어로즈 PKG,10034401,★바캉스특가★ 소노 오션플레이 경주 종일권 + 레전드 히어로즈 PKG,대한민국 경상북도 경주시 보문로 402-12,20240131
★선착순 한정특가★소노 비발디파크 오션월드 종일권,10042369,★선착순 한정특가★소노 비발디파크 오션월드 종일권,대한민국 강원도 홍천군 서면 한치골길 262,20240131
★슈퍼놀이위크★소노 비발디파크 오션월드 골드/하이시즌 종일권,10037147,★슈퍼놀이위크★소노 비발디파크 오션월드 골드/하이시즌 종일권,대한민국 강원도 홍천군 서면 한치골길 262,20240131
★슈퍼놀이위크★소노 비발디파크 오션월드 골드시즌 종일권,10032921,★슈퍼놀이위크★소노 비발디파크 오션월드 골드시즌 종일권,대한민국 강원도 홍천군 서면 한치골길 262,20240131
★얼리버드★ 강원,10019945,★얼리버드★ [강원] 하이원리조트 워터월드 준성수기 (5/5~7/14),대한민국 강원도 정선군 고한읍 하이원길 424,20240131
★오늘의특가★ 아쿠아플라넷 제주 종합권 (~11.26),10051418,★오늘의특가★ 아쿠아플라넷 제주 종합권 (~11.26),대한민국 제주특별자치도 서귀포시 성산읍 고성리 127-3,20240131
★특가★ 경기 동두천,10014634,★특가★ [경기 동두천] 놀자숲 클라이밍 실내 어드벤처 & 숲 테마파크 이용권 (~4/30),대한민국 경기도 동두천시 탑동 가산로 1,20240131
★특가★ 롯데워터파크 하이시즌 얼리버드 (~6/25),10022928,★특가★ 롯데워터파크 하이시즌 얼리버드 (~6/25),대한민국 경상남도 김해시 신문동 1417,20240131
★특가★ 롯데월드 어드벤처,10032832,★특가★ 롯데월드 어드벤처,대한민국 서울특별시 송파구 올림픽로 240,20240131
